id;placed_date;status;code;invoice_id;customer_id
1;2020-08-27T02:10:34;COMPLETED;Georgia calculate withdrawal;88795;1
2;2020-08-27T01:47:19;CANCELLED;background Incredible Soft Bacon withdrawal;68518;2
3;2020-08-26T11:04:27;COMPLETED;real-time;88753;3
4;2020-08-26T19:08:36;COMPLETED;Square Regional;82542;4
5;2020-08-27T00:59:44;PENDING;maroon Decentralized Bike;98183;5
6;2020-08-26T17:23:26;COMPLETED;program;52549;6
7;2020-08-27T07:39:21;COMPLETED;target;30578;7
8;2020-08-27T05:47:27;CANCELLED;input;43284;8
9;2020-08-27T06:13:29;CANCELLED;multi-byte Croatian Kuna RAM;99134;9
10;2020-08-27T07:18:34;COMPLETED;National lavender;4674;10
